LINK	STREET	ANODE	BNODE	LENGTH	type	lanes_ab	speed_ab	cap_ab	lanes_ba	speed_ba	cap_ba	use
439328		59812	59838	29.4401793292	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439329		59803	134994	13.5372945116	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439330		134994	135474	7.955071555	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439331		135474	59807	15.8329791248	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439332		7013	8179	218.363355797	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439333		8179	8180	73.4129192832	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439334	улица Калинина	2678	2698	71.9874911579	LOCAL	1	37.2902423866	500	0	0.0	0	ANY
439335	улица Калинина	2698	135060	254.79486694	LOCAL	1	37.2902423866	500	0	0.0	0	ANY
439336	улица Льва Толстого	16336	16332	24.8110196691	LOCAL	1	37.2902423866	500	0	0.0	0	ANY
439337	улица Терешковой	2941	2893	21.5071317509	MINOR	1	37.2902423866	500	0	0.0	0	ANY
439338	Волгоградская улица	4197	6440	45.0135051642	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439339	Волгоградская улица	6440	100339	100.616900879	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439340	Волгоградская улица	100339	6443	7.15576529138	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
