node	x	y	z
4684	739273.273257	4776026.174343	0.000000
4698	739489.471191	4776152.990549	0.000000
4702	739555.240137	4776120.418532	0.000000
4704	739734.829007	4776124.640419	0.000000
4705	739762.629220	4776129.799022	0.000000
4713	739862.667258	4776048.963224	0.000000
4715	739859.627464	4775996.626769	0.000000
4727	740097.969480	4775661.881281	0.000000
4731	740117.663791	4775410.366990	0.000000
4736	740067.041800	4775131.357777	0.000000
4739	740066.403021	4775030.267746	0.000000
4744	740450.293634	4775455.468888	0.000000
4756	739058.315991	4776534.642318	0.000000
4762	739088.832201	4776701.829413	0.000000
4763	739164.636196	4776947.787477	0.000000
4764	738847.406906	4777278.293311	0.000000
4766	739131.683306	4779165.526182	0.000000
4767	739281.318638	4779526.235483	0.000000
4771	739759.505224	4779975.224833	0.000000
4772	739785.582351	4780523.728614	0.000000
4773	740171.564151	4780320.739942	0.000000
4776	739806.026261	4780508.803016	0.000000
4782	739309.907581	4780197.073116	0.000000
4789	739493.245061	4780362.309864	0.000000
4802	740550.961658	4780265.178219	0.000000
4804	740633.136020	4780259.030125	0.000000
4811	741249.456847	4780278.748209	0.000000
4817	741817.035142	4780243.114236	0.000000
4822	742263.041903	4780375.329340	0.000000
4855	738668.872273	4779827.127911	0.000000
4857	738774.050077	4779864.296334	0.000000
4863	736130.492729	4779696.519169	0.000000
4864	736246.553213	4779707.649633	0.000000
